qua;27/2/2013;;07:13;12:00;13:00;17:15;;;;;;
qui;28/2/2013;;07:30;12:00;13:00;17:06;;;;;;
sex;1/3/2013;;07:29;12:00;13:00;16:22;;;;;;
sáb;2/3/2013;;;;;;;;;;;
dom;3/3/2013;;;;;;;;;;;
seg;4/3/2013;;07:19;12:00;13:00;17:07;;;;;;
ter;5/3/2013;;13:00;18:13;;;;;;;;
qua;6/3/2013;;07:17;12:00;13:00;17:15;;;;;;
qui;7/3/2013;;07:22;12:00;13:00;17:16;;;;;;
sex;8/3/2013;;07:28;12:00;13:00;16:21;;;;;;
sáb;9/3/2013;;;;;;;;;;;
dom;10/3/2013;;;;;;;;;;;
seg;11/3/2013;;07:19;12:00;13:00;17:20;;;;;;
ter;12/3/2013;;07:30;12:00;13:00;17:15;;;;;;
qua;13/3/2013;;07:36;12:00;13:00;17:16;;;;;;
qui;14/3/2013;;07:31;12:00;13:00;17:32;;;;;;
sex;15/3/2013;;07:33;12:00;13:00;16:15;;;;;;
sáb;16/3/2013;;;;;;;;;;;
dom;17/3/2013;;;;;;;;;;;
seg;18/3/2013;;07:28;12:00;13:00;17:15;;;;;;
ter;19/3/2013;;07:42;12:00;13:00;17:22;;;;;;
qua;20/3/2013;;07:37;12:00;13:00;17:15;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
qui;21/3/2013;;07:27;12:00;13:00;17:15;;;;;;
sex;22/3/2013;;07:37;12:00;13:00;16:21;;;;;;
sáb;23/3/2013;;;;;;;;;;;
dom;24/3/2013;;;;;;;;;;;
seg;25/3/2013;;07:20;12:00;13:00;17:26;;;;;;
ter;26/3/2013;;07:22;12:00;13:00;18:24;;;;;;
qua;27/3/2013;;07:39;12:00;13:00;17:17;;;;;;
qui;28/3/2013;;07:32;12:00;13:00;16:58;;;;;;
sex;29/3/2013;Feriado;;;;;;;;;;
sáb;30/3/2013;;;;;;;;;;;
dom;31/3/2013;;;;;;;;;;;
seg;1/4/2013;;07:14;12:00;13:00;17:46;;;;;;
ter;2/4/2013;;07:20;12:00;13:00;17:32;;;;;;
qua;3/4/2013;;07:33;12:00;13:00;17:17;;;;;;
qui;4/4/2013;;07:34;12:00;13:00;17:15;;;;;;
sex;5/4/2013;;07:26;12:00;13:00;16:55;;;;;;
sáb;6/4/2013;;;;;;;;;;;
dom;7/4/2013;;;;;;;;;;;
seg;8/4/2013;;07:25;12:00;13:00;17:17;;;;;;
ter;9/4/2013;;07:30;12:00;13:00;17:47;;;;;;
qua;10/4/2013;;07:30;12:00;13:00;17:32;;;;;;
qui;11/4/2013;;13:07;17:16;;;;;;;;
sex;12/4/2013;;07:38;12:15;;;;;;;;
sáb;13/4/2013;;;;;;;;;;;
dom;14/4/2013;;;;;;;;;;;
seg;15/4/2013;;07:19;12:00;13:00;17:48;;;;;;
ter;16/4/2013;;07:14;12:00;13:00;16:53;;;;;;
qua;17/4/2013;;12:52;17:55;;;;;;;;
qui;18/4/2013;;07:14;12:00;13:00;17:17;;;;;;
sex;19/4/2013;;07:31;12:00;13:00;14:25;;;;;;
sáb;20/4/2013;;;;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
dom;21/4/2013;Feriado;;;;;;;;;;
seg;22/4/2013;;07:34;12:00;13:00;17:16;;;;;;
ter;23/4/2013;;07:25;12:00;13:00;17:42;;;;;;
qua;24/4/2013;;07:27;12:00;13:00;17:14;;;;;;
qui;25/4/2013;;07:27;12:00;13:00;17:15;;;;;;
sex;26/4/2013;;12:55;16:33;;;;;;;;
sáb;27/4/2013;;;;;;;;;;;
dom;28/4/2013;;;;;;;;;;;
seg;29/4/2013;;07:22;12:00;13:00;17:16;;;;;;
ter;30/4/2013;;07:28;12:00;13:00;17:15;;;;;;
qua;1/5/2013;Feriado;;;;;;;;;;
qui;2/5/2013;;07:22;12:00;13:00;17:16;;;;;;
sex;3/5/2013;Falta;;;;;;;;;;
sáb;4/5/2013;;;;;;;;;;;
dom;5/5/2013;;;;;;;;;;;
seg;6/5/2013;;07:17;12:00;13:00;17:57;;;;;;
ter;7/5/2013;;07:47;12:00;13:00;17:17;;;;;;
qua;8/5/2013;;07:25;12:00;13:00;17:23;;;;;;
qui;9/5/2013;;07:33;12:00;13:00;17:24;;;;;;
sex;10/5/2013;;07:37;12:00;13:00;16:14;;;;;;
sáb;11/5/2013;;;;;;;;;;;
dom;12/5/2013;;;;;;;;;;;
seg;13/5/2013;;07:38;12:00;13:00;17:16;;;;;;
ter;14/5/2013;Liberac.R.;13:14;15:48;;;;;;;;
qua;15/5/2013;Liberac.R.;12:56;15:00;;;;;;;;
qui;16/5/2013;Liberac.R.;12:51;15:30;;;;;;;;
sex;17/5/2013;;12:44;16:18;;;;;;;;
sáb;18/5/2013;;;;;;;;;;;
dom;19/5/2013;;;;;;;;;;;
seg;20/5/2013;;07:07;12:00;13:00;17:17;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
ter;21/5/2013;;07:40;12:00;13:00;17:31;;;;;;
qua;22/5/2013;Falta;;;;;;;;;;
qui;23/5/2013;;07:28;12:00;13:00;17:17;;;;;;
sex;24/5/2013;;07:36;12:00;13:00;16:14;;;;;;
sáb;25/5/2013;;;;;;;;;;;
dom;26/5/2013;Feriado;;;;;;;;;;
seg;27/5/2013;;07:32;12:00;13:00;17:12;;;;;;
ter;28/5/2013;;07:44;12:00;13:00;17:16;;;;;;
qua;29/5/2013;;07:33;12:00;;;;;;;;
qui;30/5/2013;Feriado;;;;;;;;;;
sex;31/5/2013;Falta;;;;;;;;;;
sáb;1/6/2013;;;;;;;;;;;
dom;2/6/2013;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Soma;;;;;;;;;;;;
