qui;04/09/2014;;14:38;20:55;21:55;01:56;;;
sex;05/09/2014;;15:59;20:01;21:05;01:28;;;
sáb;06/09/2014;;;;;;;;
dom;07/09/2014;;;;;;;;
seg;08/09/2014;;16:11;20:47;21:47;01:43;;;
ter;09/09/2014;;16:09;21:03;22:06;02:14;;;
qua;10/09/2014;;16:07;20:50;21:53;01:39;;;
qui;11/09/2014;;16:03;20:50;21:56;01:39;;;
sex;12/09/2014;;15:59;21:13;22:17;01:44;;;
sáb;13/09/2014;;;;;;;;
dom;14/09/2014;;;;;;;;
seg;15/09/2014;;16:10;20:57;22:00;01:58;;;
ter;16/09/2014;;16:13;20:57;22:02;01:51;;;
qua;17/09/2014;;15:40;21:20;22:20;02:10;;;
qui;18/09/2014;;16:04;21:27;22:32;01:40;;;
sex;19/09/2014;;15:51;20:47;21:50;01:40;;;
sáb;20/09/2014;;;;;;;;
Soma;;;;;;;;;
dom;21/09/2014;;;;;;;;
seg;22/09/2014;;15:55;21:20;22:24;01:58;;;
ter;23/09/2014;;16:11;20:52;21:52;01:44;;;
qua;24/09/2014;;16:12;21:01;22:01;02:01;;;
qui;25/09/2014;;16:13;21:01;22:03;01:34;;;
sex;26/09/2014;;16:12;20:48;21:48;02:02;;;
sáb;27/09/2014;;;;;;;;
dom;28/09/2014;;;;;;;;
seg;29/09/2014;;16:07;20:50;21:54;01:52;;;
ter;30/09/2014;;15:51;21:20;22:23;01:59;;;
qua;01/10/2014;;15:51;20:55;21:57;02:44;;;
qui;02/10/2014;;15:53;21:09;22:09;01:55;;;
sex;03/10/2014;;15:59;20:39;21:41;02:28;;;
sáb;04/10/2014;;;;;;;;
dom;05/10/2014;;;;;;;;
seg;06/10/2014;;15:57;20:47;21:47;01:43;;;
ter;07/10/2014;;15:59;21:07;22:07;02:06;;;
qua;08/10/2014;;16:12;21:09;22:11;02:13;;;
qui;09/10/2014;;15:51;21:13;22:18;01:35;;;
sex;10/10/2014;;15:53;21:23;22:23;02:25;;;
sáb;11/10/2014;;;;;;;;
dom;12/10/2014;;;;;;;;
seg;13/10/2014;;16:04;21:00;22:02;02:02;;;
ter;14/10/2014;;16:14;20:55;21:57;02:15;;;
